FatherId,MotherId,Children
31652,29872,31675;31570;31582;31595;31594;31653
31652,31434,
31650,29222,31692;31590;31585;31703
31648,31285,31661;31611;31353
31645,29920,31669
31645,32399,31716
31642,30905,31641;31572;31643;31605;31639
31640,32679,31614;31566
31637,30364,31591;31702
31636,0,31619
31636,0,31645
31636,0,31648
31636,0,31671
31636,0,31680
31636,0,31689
31636,0,31713
31636,0,31554
31636,0,31598
31636,0,31607
31631,32322,31706;31633;31632
31629,30364,31623
31629,31810,
31626,29865,
31626,29911,
31623,30346,31624;31625;31635
31623,32374,
31619,30457,31555;31564;31637;31608
31544,31297,31521;31515;31475
31542,28410,31503
31542,30994,31485;31432;31514
31542,31287,31543
31540,31009,31522;31542;31467
31540,33192,31490
31538,32358,31405;31526;31509;31447;31442
31534,28410,31537;31498
31534,30464,31468;31536;31431;31411;31528;31535
31533,30358,31539;31505;31465;31462
31531,30387,31426;31397
31529,31009,31438;31534
31527,29866,31400;31403;31458
31526,30508,31494;31499
31525,30358,31492
31525,30994,
31523,0,31424
31523,0,31464
31522,30994,31439;31466
31519,30334,
31519,30404,
31519,31555,
31517,27878,31416;31460;31476;31428;31399
31512,32388,31451;31412
31509,31275,31510;31433
31509,31287,
31505,28427,31506;31507;31508
31504,32047,
31502,31385,31470;31482;31430;31394;31429;31533
31499,31451,31456
31497,0,31406
31497,0,31449
31497,0,31502
31497,0,31504
31496,27664,
31496,30404,31486;31461;31463;31473;31441
31494,31329,31401;31495
31493,29652,31527;31420
31493,31743,31417;31478;31413;31398;31425
31490,33190,
31489,29197,31493;31531;31459;31474
31486,30484,31487;31511
31486,30803,31488;31524
31482,31103,31404;31501;31427;31472
31480,29957,31484;31452;31520;31516;31440
31480,31329,31455;31407
31480,33190,31481;31435;31448;31410;31396
31479,30671,31421;31483;31422;31443;31500
31476,31265,31454;31418;31434;31480;31544;31532
31476,31748,31491;31437;31477;31392;31496;31519
31474,31310,31402;31479;31395;31415
31470,49428,31419;31471;31450;31541;31409;31530
31469,31387,31513;31445;31518
31464,29909,31469;31423;31525;31408
31260,32402,31390;31262;31307;31261
31258,27736,31263
31258,29931,31327;31339;31364;31365
31254,28041,
31253,31375,31286
31253,32523,
31252,30919,
31252,32314,
31251,32731,
31250,32383,31370;31165;31350
31249,29186,31187
31245,30637,31247;31246
31245,32708,31248;31311;31273
31243,30423,
31242,30423,31268;31275;31201
31240,98,31347;31330;31203;31367
31240,31349,
31239,29984,31318
31239,49630,31229;31343
31239,32507,
31239,0,31313
31235,29186,31373;31236;31309;31256;31305
31234,30441,31335;31296;31342
31234,31603,31282;31374;31239;31160;31272;31336;31355
31234,31735,31310;31184;31174
31233,27870,
31233,28686,31150
31230,30926,31232;31231;31163;31340;31279;31152
31229,30925,
31227,30919,31210;31196;31326
31227,32014,
31227,32314,
31226,0,31141
31226,0,31189
31226,0,31222
31226,0,31234
31226,0,31242
31226,0,31292
31226,0,31332
31226,0,31388
31223,32659,31389;31108;31362;31221;31321
31222,27653,
31222,29204,31223;31320
31222,30325,31265;31385;31181;31219;31191
31220,30347,
31219,30762,
31219,31447,31260
31217,27930,
31214,0,31149
31214,0,31159
31214,32524,31386;31178;31164;31258;31363;31337
31214,0,31269
31210,30292,31212;31213;31270;31382
31210,31301,31211;31259;31257
31203,30770,31204;31205
31203,33191,31253;31206;31188
31203,31322,31348;31208;31301;31209;31215;31383;31207;31381
31202,94,31148
31202,32519,31233;31230;31378
31200,32582,31372
31199,31402,
31199,31392,
31196,30982,31197;31198;31172
31195,96,31299;31290;31306
31195,97,31322
31192,30925,31243;31126
31192,31417,31193;31371;31225;31194
31192,32719,31360
31191,49464,31297;31190
31191,31332,
31190,32719,31146;31288
31190,31343,31228
31189,28386,31303;31317;31357;31274;31186;31293
31186,30662,31167;31129
31184,31354,
31182,0,31138
31182,0,31214
31182,0,31285
31182,0,31366
31182,0,31368
31181,33164,31387;31199;31354;31153
31179,27869,
31178,30642,31319;31183;31154
31177,30391,
31176,32731,31249;31345;31157
31176,31414,31241
31174,27697,31177;31289;31245
31174,32401,31175
31174,31592,31200
31173,28402,31316
31173,30427,
31173,31319,31131
31171,95,
31171,49034,31284
31171,32009,
31167,31729,31143;31308
31167,32417,31276
31167,31387,31218;31169;31216
31166,28034,31281;31224
31165,32020,
31164,32494,31302;31147;31356;31127
31164,32547,31227;31250;31280;31179;31252;31312
31163,28688,
31162,31425,
31160,31263,31192;31375;31162;31161;31331;31140;31291
31160,31430,
31159,28452,31384;31315
31158,29195,29196
31157,33197,
31156,31811,31271;31346;31185
31156,0,31333
31154,27870,
31153,29942,
31151,29886,31156
31150,31298,
31149,27899,31254;31358
31149,30309,31300;31130;31170;31173;31304;31220
31149,32036,31351;31361;31277
31147,31365,
31145,31447,31329;31139
31145,32640,31391;31142;31244
31142,29942,31235;31267;31287
31141,27668,31176;31151;31251;31266;31145;31359;31325
31138,30900,31166;31341;31202;31217;31377;31240;31171
31131,27686,31135;31134;31238;31376;31352;31155
31131,28056,31133;31132;31334;31180;31128;31237;31137
31131,32504,31264;31136;31338
31130,30461,
31130,92,
31130,93,31298
31129,31402,31283;31255;31144;31158;31295;31562
31127,32503,
31073,48829,31075;31074;31118;31043;31078;31077;31076
31058,28196,31030;31083;31016
31057,27749,31040
31057,32734,31015;31046
31056,29981,31092;31110
31054,29978,
31054,30628,31055
31048,32326,31045;31061
31047,31355,31058;31119;31034
31045,30286,31022;31066
31045,30338,31049
31041,29995,31090;31117;31047;31038
31041,0,31028
31041,32104,31102;31068;31101
31041,0,31057
31041,0,31087
31039,32354,31079;31098;31048
31038,29886,31112;31054
31037,30910,31021;31097;31106
31037,0,31056
31037,0,31081
31037,0,31084
31037,0,31123
31036,28367,31059;31089;31060;31104;31071;31122
31036,31394,31105
31035,32376,31073;31012;31010;31024
31035,32662,31116;31096
31034,30286,31113
31034,30639,31088;31094;31011;31023;31107
31032,31121,31031;31020;31067;31053;31069;31033
31032,32712,31070
31030,28354,
31030,30381,
31028,27738,31114
31027,33150,31044
31025,30807,31026;31124;31120
31024,29263,31072
31024,33182,31121
31022,27738,31017
31021,27738,31025;31036;31103
31021,32326,31093;31080;31100
31017,28367,
31017,29227,31029;31125;31051;31050;31052;31018
31017,30787,31062;31115;31109;31019
31013,29995,31095;31027;31063;31111;31035
31010,30458,31032
31010,31984,31014;31064;31039;31099
30976,30940,30977;30946
30973,31991,
30972,31391,30984
30970,31342,
30969,29979,30958
30969,30776,30982
30969,33177,30976;30994;30990
30967,30659,30980;30999;31006
30964,30506,30970
30963,32026,
30961,27879,30969;30981;30943;30957;30972;31009
30958,31730,30956;30959;30978;30944
30957,33201,30952;30997;30975
30957,31745,30966
30952,29986,30953;30954;30955;30979;30974
30951,32414,30992;31005;30963;31007;30962;30985;30948;30967;30950
30950,32724,30995;31008;30988;30945;30947
30948,30452,30859;31000
30948,33150,
30948,32100,30986
30947,30633,30968;30965;30987
30945,30383,30862;30925;31004;30991
30943,33177,30993
30886,31368,30927;30942;30851;30849
30885,28047,30937;30920;30884;30887;30853;30928;30918
30876,27747,30879;30878;30834;30825;30852;30868;30880;30881
30876,31284,30923;30877;30874;30941;30940;30935;30916
30874,30990,30818;30875;30929
30871,31992,30939;30873;30872
30867,30638,30861;30827;30844
30865,28478,30850;30866
30862,30448,
30862,31448,30971;30989;31002
30861,32008,30869
30859,30453,30860;30983;30949
30858,32027,
30856,79,30816;30907;30857
30855,29162,30909
30855,32027,30871
30854,28204,
30851,27710,30921;30885;30899
30851,31304,
30849,28469,30870;30919
30849,80,30922;30876;30835;30926;30821
30848,28447,
30848,0,30826
30848,0,30867
30848,0,30889
30848,0,30894
30848,0,30904
30848,0,30911
30848,0,30938
30845,31545,30819;30901;30931;30814;30865
30838,27656,
30838,29924,30839;30840;30841;30842;30843
30837,33152,
30836,30267,30913;30882;30932;30864
30835,32008,30924;30897
30833,30267,
30832,29265,
30831,0,30815
30831,0,30837
30831,0,30845
30831,0,30891
30831,0,30906
30831,0,30908
30829,81,30858;30855;30934
30829,0,30856
30829,0,30915
30827,27719,30832;30896
30826,48878,30817;30905;30820
30821,27870,30823;30824;30933
30821,32131,30863;30838;30822;30854;30902;30830
30820,31581,30892;30895;30936;30847;30883
30820,31415,30912
30817,27719,30893;30890;30828
30815,31809,30833;30888;30836
30755,30293,30757;30756;30807;30792;30713
30754,28024,30804;31065
30752,29228,30802;30719
30752,32606,30740;30801;30780;30767
30752,31274,30787
30752,0,30813
30751,28474,
30750,30774,30781;30717
30746,30806,30799;30747;30712
30745,30789,30692;30739;30686
30743,30899,30803;30758;30721;30805;30795;30683
30743,30768,30766
30743,32367,
30739,49719,30720
30738,8,30702;30681;30745
30735,20,30736;30737;30810
30734,28475,30703;30718;30700;30793
30732,27872,
30732,27914,30694
30732,77,30679
30732,78,30771
30728,28482,
30728,49712,
30728,74,30733
30728,31367,30772;30731
30726,31424,30678;30751
30725,31424,30762
30721,32636,30722;30682
30721,32686,30727;30723
30721,31463,30724;30748
30720,245,
30719,27672,
30719,32678,
30718,32495,
30717,28359,
30717,29875,30743;30786;30741;30752;30755;30765
30715,32331,30770;30746
30714,30765,
30709,31983,
30708,29879,30784;30791;30715
30708,31369,30695;30691;30789
30702,7,30773;30759;30788;30732;30697
30701,244,
30700,27930,
30699,32495,30798
30698,28425,30707;30764;30794;30777;30779
30697,32013,30698;30699
30697,30791,
30695,73,30684;30728
30695,72,30806
30694,30000,30753;30696
30692,28482,30710;30706;30701
30692,32549,30785
30691,75,30709
30689,76,30768;30714;30796
30686,49750,30800;30775;30688;30687;30808
30684,31367,30742;30783;30797
30684,32721,30725
30683,27672,30705;30812
30681,49558,30690;30704
30681,28425,30754;30716
30679,28425,30680
30679,29214,30782
30679,32106,
30678,30670,30760;30763
30606,31428,30659;30602;30580;30512;30534;30577
30606,31589,
30603,29953,
30602,31433,
30600,32397,30592;30642;30662;30611;30542;30673;30672;30617;30532
30597,27712,30522;30573;30572;30598;30599;30533;30650;30581;30578;30531
30593,30381,
30592,30414,30541;30540;30584;30638;30530
30589,30657,30590;30591;30523;30529
